Date,Title,Description,Project,Phase,Themes,What we learned,Insights,Recommendations,Quotes
2022-09-01,Find Business Support Survey - Cost of Doing Business,Localised survey on costs of doing business,FBS,,"Filters"",""Scent Trail"",""Energy"",""Low Carbon"",""Net Zero","Significant number of people are seeing large cost increases for energy. 

Supply and Transport costs are also going up but hitting a plateau that is not being experienced in energy costs. 
Businesses are both, Absorbing Costs & Raising Prices to cover expenses at the same time. 
There is also widespread pay freezing happening

They are trying to save energy and become more efficient. They are also looking for government support. 

There is no widespread belief that the UK Government’s Energy Bill Relief Scheme, will give them all the help they need. ","Significant number of people are seeing large cost increases for energy. 

Companies try to implement multiple strategies at the same time during crisis. 

Government support can often be seen as ""Too Late""",,
2022-06-30,Scottish Business Support Survey,"A general survey about ""what people look for in the business support area""",FBS,,Expectations,"Important that advice can be accessed in a number of ways including in person and digital

Its not perceived to be critical that support can be accessed at all times of the day and night 

","Important that advice can be accessed in a number of ways including in person and digital

It' not perceived to be critical that support can be accessed at all times of the day and night ","Ensure that in person routes still exist
",
2022-03-01,FBS Similar Items March 2022,Discovery work to understand “similar items” functionality,FBS,Live,"Benefits"",""Content"",""Expectations"",""Filters"",""Language"",""Nav"",""Scent Trail"",""Wireframe"",""layout","All users were easily able to use the different filters and successfully complete the task
-They were happy with the ease with which they were able to narrow down the results
-Once the results were displayed majority were happy with the look and feel of the results page
-However, users highlighted the difficulty in getting relevant search results while using multiple filters and at times the results would not narrow down. (refer to slide 6 for details)
-Majority 7 out of 10 users would welcome “you may also be interested in” functionality
-Majority users were happy with the placement of the “related content” section on the prototype",,,Could be applied if someone has very specific search criteria with few results appearing. I believe that this will be a helpful tool / functionality because it provides further assistance which could be handy.
2021-10-20,Test FBS Filters Prototype,Test FBS Filters Prototype,FBS,Live,"IA"",""UX"",""Wireframe",Filters appaear to be working quite well,,Repeat research Quarterly,
2021-09-28,Test FBS Filters Prototype V4,Test FBS Filters Prototype V4,FBS,Live,"Filters"",""IA"",""UX"",""Wireframe",Filters appaear to be working quite well,Filters appaear to be working quite well,Repeat research Quarterly,
2021-08-20,Test FBS Filters Prototype V2,Test FBS Filters Prototype V2,FBS,Live,"Filters"",""IA"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,
2021-08-20,Test FBS Filters Prototype V3,Test FBS Filters Prototype V3,FBS,Live,"Filters"",""IA"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,
2021-08-20,Test FBS Filters Prototype V2.1,Test FBS Filters Prototype V2.1,FBS,Live,"Filters"",""IA"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,
2021-07-30,Test FBS Filters Prototype (1st Run),Test FBS Filters Prototype (1st Run),FBS,Live,"Filters"",""IA"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,
2021-07-30,Test FBS Filters Prototype V2.1,Test FBS Filters Prototype V2.1,FBS,Live,"Filters"",""IA"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,
2021-06-17,Test FBS Filters Prototype NetZero V1,Test FBS Filters Prototype NetZero V1,FBS,Live,"Filters"",""IA"",""Net Zero"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,"Filters are a never ending source of frustration and opportunity. 

They need to fit users Mental Models in order to work or even be seen.",Repeat research Quarterly,
2021-06-17,Test FBS Filters Prototype NetZero V3,Test FBS Filters Prototype NetZero V3,FBS,Live,"Filters"",""IA"",""Net Zero"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,,Repeat research Quarterly,
2021-06-17,Test FBS Filters Prototype NetZero V2,Test FBS Filters Prototype NetZero V2,FBS,Live,"Filters"",""IA"",""Net Zero"",""UX"",""Wireframe",Filters need more work done on them. There is overlap and areas of confusion,,Repeat research Quarterly,
2021-05-11,Changes on the About Us page :: Content,Changes on the About Us page :: Content,FBS,Live,Language,"Needed to add sections on
the purpose of the site
- how it can help businesses
- why it was created
- who runs it
- site usage, visitors and newsletter subscribers",,,
2021-04-28,Changes on the Covid page :: Analytics,Changes on the Covid page :: Analytics,FBS,Live,,"What we decided based on this:
The buttons are at the best place (high on the page) so they are unlikely to get better use elsewhere on the page so we removed them

Latest updates has been moved up",,,
2021-03-17,Operate after Brexit :: Lab Testing,Operate after Brexit :: Lab Testing,FBS,Live,,"People like that there is a link to FAQs but they want more detail (which you can get on http://se.com/)
- No one commented on the Funding/Events buttons – they aren’t getting down far enough on the page
- People like the http://se.com/ Brexit pages in terms of the content, style and layout but are less keen on FBS
- A few people mentioned that they would expect to see a list of sectors in the ‘Advice for specific sectors’ accordion
- Someone also suggested adding more information about the funding support to that accordion section
- Everyone expects there to be a search bar
- There’s some confusion around the Brexit filter on the homepage
only linking to a page with three items, instead of the whole Brexit
page",,,
2021-03-10,Operate after Brexit :: Lab Testing,Operate after Brexit :: Lab Testing,FBS,Live,,"People like that there is a link to FAQs but they want more detail (which you can get on http://se.com/)
- No one commented on the Funding/Events buttons – they aren’t getting down far enough on the page
- People like the http://se.com/ Brexit pages in terms of the content, style and layout but are less keen on FBS
- A few people mentioned that they would expect to see a list of sectors in the ‘Advice for specific sectors’ accordion
- Someone also suggested adding more information about the funding support to that accordion section
- Everyone expects there to be a search bar
- There’s some confusion around the Brexit filter on the homepage
only linking to a page with three items, instead of the whole Brexit
page",,,
2021-03-03,Operate after Brexit :: Lab Testing,Operate after Brexit :: Lab Testing,FBS,Live,,"People like that there is a link to FAQs but they want more detail (which you can get on http://se.com/)
- No one commented on the Funding/Events buttons – they aren’t getting down far enough on the page
- People like the http://se.com/ Brexit pages in terms of the content, style and layout but are less keen on FBS
- A few people mentioned that they would expect to see a list of sectors in the ‘Advice for specific sectors’ accordion
- Someone also suggested adding more information about the funding support to that accordion section
- Everyone expects there to be a search bar
- There’s some confusion around the Brexit filter on the homepage
only linking to a page with three items, instead of the whole Brexit
page",,,
2021-03-02,Top-level menu :: Online,Top-level menu :: Online,FBS,Live,"IA"",""menu","Most people couldn’t see any significant difference between the four menus
- No clear-cut winner – not much difference between the four",,,
2021-03-02,Top-level menu :: Online,Top-level menu :: Online,FBS,Live,"IA"",""menu","Most people couldn’t see any significant difference between the four menus
- No clear-cut winner – not much difference between the four",,,
2021-02-01,Analytics on the COVID after quick re-design :: Analytics,Analytics on the COVID after quick re-design :: Analytics,FBS,Live,Analytics,Upcoming Funds is not well used by most customers. Other research shows that Intermediaries value this.,,,
2021-01-28,Intermediaries user testing 28 January 2021 :: Lab,Intermediaries user testing 28 January 2021 :: Lab,FBS,,,%23NAME?,,,
2021-01-27,One-to-one user testing 27-28 January 2021 :: Lab,One-to-one user testing 27-28 January 2021 :: Lab,FBS,,,"Users don’t notice the text link to all funding under the accordions
Add the closing date (or make it clear that there is no closing date) to service descriptions
Make upcoming funds more prominent on the advice page so users don’t miss them
Funding guide may be of limited use to businesses that are experienced in accessing grant funding or get accountants/intermediaries to do it for them",,,
2021-01-25,Analytics on the COVID page Monday 25 January :: Analytics,Analytics on the COVID page Monday 25 January :: Analytics,FBS,Live,Analytics,"Sources of traffic
- Google (organic): 27%
- Direct traffic: 15%
- PWA (Progressive Web App):10%

Next page visited (% pageviews)
- Browse support: 45%
- Strategic Framework Business Fund: 16%
- Self-employment Income Support Scheme: 7%

What accordion links have been clicked on the most
- If you have business premises: 24%
- If you are self employed: 22%
- Search all available funding: 18%",,,
2021-01-21,Analytics on the COVID page links :: Analytics,Analytics on the COVID page links :: Analytics,FBS,,Analytics,"Out of the 185 links on this page, 32 were responsible for 90% of the traffic.",,,
2021-01-21,One-to-one user testing :: Lab Testing,One-to-one user testing :: Lab Testing,FBS,,,"What worked:
-Users like the clean, uncluttered layout
-The Funding and Guidance buttons were used by all
-Last updated dates on service descriptions were appreciated
-Highlighting funds for business rates payers/self-employed -“This splits it quite clearly”

What didn’t work
-The cookie banner covered the fold, so not all users saw that there was more content below
-The content below the fold had no headings and was hard to scan
-Technical issue with the browse support search bar for the user on a Mac",,%23NAME?,
2021-01-20,Online testing (January) of Coronavirus advice page layout :: Online research and testing,Online testing (January) of Coronavirus advice page layout :: Online research and testing,FBS,Live,,"- Users like the clear, simple layout – keep the site uncluttered
- Most users are using the new ‘Looking for funding? Start here’ accordions to look for funding, but some will go to the main Funding tab
- Keep upcoming funds on the site
- Some users missed the ‘Upcoming funds for 2021’ section on the advice page because it was below the fold. 
- Some users expect information about upcoming funds to be in the main Funding section.",,,
2021-01-13,Online testing (January) of opinions about upcoming funding,Online testing (January) of opinions about upcoming funding,FBS,Live,,,,,
2020-11-19,Summarry of Staff Insighst 2020,Summarry of Staff Insighst 2020,FBS,,Language,Ralationships matter  SE staff are viewed as experts  Customers want digitisation of Admin  The product landscape is Ever-Evolving  Internal Processes cause a range of issues (Unecessary Overhead)  Our Systems limit us  Data is SE's lifeblood. We are not that consistent/good at data  Staff work with limited visibility,,Work on all these areas to improve them,
2020-11-11,FBS Homepage - Search changes,FBS Homepage - Search changes,FBS,,,Add phone number PROMINENTLY to teh homepage  More nav options needed on homepage  V2 Quick filter on homepage for Brexit & Coronavirus was well received,,Add Quick filter on homepage for Brexit & Coronavirus,
2020-10-01,SEP-About us,SEP-About us,FBS,,layout,,,,
2020-10-01,SEP-About us,SEP-About us,FBS,,layout,,,,
2020-09-21,FBS September Feedback,FBS September Feedback,FBS,,"Content"",""layout","Simple UI was appreciated    Photographs look a bit ""Stock Image""",,,
2020-09-06,Covid-19 Support,Covid-19 Support,FBS,,layout,,,,
2020-08-13,Hotel Recovery,Hotel Recovery,FBS,,"Content"",""Language","Some companies might not be there in march    If you aren’t clear what you are being asked before you begin its quite difficult to get your thoughts together “     It was very quick, that’s what we like nice and easy”",,,
2020-07-04,Coronavirus advice webpages,Coronavirus advice webpages,FBS,,Language,,,,
2020-06-19,Covid-19 guidance filters,Covid-19 guidance filters,FBS,,,,,,
2020-06-17,Enquiries portal,Enquiries portal,FBS,,layout,,,,
2020-06-17,enquiries portal -new partners to the FBS website were shown the portal prototype,enquiries portal -new partners to the FBS website were shown the portal prototype,FBS,,,prototype straightforward   enquiry notification   actions button confusing,,,
2020-06-16,Covid-19 guidance filters,Covid-19 guidance filters,FBS,,,,,,
2020-05-26,FBS customer journey,FBS customer journey,FBS,,"Language"",""layout",,,,
2020-05-20,"FBS challenages, opp, sector feedback","FBS challenages, opp, sector feedback",FBS,,,,,,
2020-05-15,FBS covid 19 support,FBS covid 19 support,FBS,,,,,,
2020-04-20,Coronavirus advice webpages-2nd wave,Coronavirus advice webpages-2nd wave,FBS,,Content,,,,
2020-03-30,FBS-Service-Filter,FBS-Service-Filter,FBS,,,,,,
2020-03-30,FBS-Covid-19,FBS-Covid-19,FBS,,,,,,
2020-03-27,FBS-Covid -19,FBS-Covid -19,FBS,,Language,,,,
2020-03-13,FBS-Events-Filter,FBS-Events-Filter,FBS,,,,,,
2020-02-25,SEP-keyword search,SEP-keyword search,FBS,,,,,,
2020-02-24,SEP-Waiting List,SEP-Waiting List,FBS,,layout,,,,
2020-02-21,SEP-Events date range,SEP-Events date range,FBS,,layout,,,,
2020-02-15,SEP-Map Icons,SEP-Map Icons,FBS,,layout,,,,
2020-02-14,SEP-About us,SEP-About us,FBS,,Language,,,,
2020-01-29,Anubhav Mittal,Anubhav Mittal,FBS,,layout,,,,
2020-01-20,SEP-Map Function,SEP-Map Function,FBS,,layout,,,,
2020-01-10,FBS October Feedback,FBS October Feedback,FBS,,"Content"",""Language"",""layout",Like the CoronaVirus link at the top of the page    Some people view it as a little dull    The menu structure could be simpler    The Intro could be shorter and sharper    People want a search box on teh homepage,People expect a search box on the home page,,
2020-01-04,Coronavirus Design prototypes,Coronavirus Design prototypes,FBS,,Language,,,,
